"","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","AcceptedLastCmp","Generation","AcceptedPrv","TotalDays"
"31",1989,"Master","Divorced",10979,0,0,34,8,4,10,2,2,4,2,3,0,3,5,"0","0","0","0","0","0","0","Millenials",0,39
"32",1963,"Master","Together",38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,"0","0","0","0","0","0","0","Baby Boomer Generation",0,415
"33",1970,"Graduation","Together",40548,0,1,31,110,0,5,2,0,3,2,2,1,4,5,"0","1","0","0","0","0","0","Generation X",1,628
"34",1952,"PhD","Divorced",46610,0,2,8,96,12,96,33,22,43,6,4,1,6,6,"0","0","0","0","0","0","1","Baby Boomer Generation",0,609
"35",1946,"Master","Married",68657,0,0,4,482,34,471,119,68,22,1,3,5,9,7,"0","0","0","0","0","0","0","Baby Boomer Generation",0,495
"36",1951,"Master","Single",49389,1,1,55,40,0,19,2,1,3,1,2,0,3,7,"0","0","0","0","0","0","0","Baby Boomer Generation",0,305
"37",1970,"PhD","Married",67353,0,1,37,702,17,151,0,8,35,5,5,6,12,2,"0","0","0","0","0","0","0","Generation X",0,181
"38",1976,"2n Cycle","Married",23718,1,0,76,6,3,14,15,7,36,3,3,1,2,7,"0","0","0","0","0","0","0","Generation X",0,301
"39",1973,"Graduation","Widow",42429,0,1,99,55,0,6,2,0,4,2,1,1,3,5,"0","0","0","0","0","0","0","Generation X",0,139
"40",1943,"PhD","Divorced",48948,0,0,53,437,8,206,160,49,42,2,7,10,5,6,"1","0","0","0","0","0","1","Silent Generation",1,514
"41",1980,"Graduation","Married",80011,0,1,3,421,76,536,82,178,102,2,8,6,5,4,"0","0","0","0","0","0","0","Generation X",0,427
"42",1985,"Master","Married",20559,1,0,88,13,1,29,3,0,7,2,2,0,3,8,"0","0","0","0","0","0","0","Millenials",0,475
"43",1957,"Graduation","Together",21994,0,1,4,9,0,6,3,1,3,1,0,0,3,5,"0","0","0","0","0","0","0","Baby Boomer Generation",0,553
"44",1959,"PhD","Single",NA,0,0,80,81,11,50,3,2,39,1,1,3,4,2,"0","0","0","0","0","0","0","Baby Boomer Generation",0,237
"45",1975,"Master","Married",7500,1,0,19,3,1,10,3,2,12,3,2,0,3,5,"0","0","0","0","0","0","0","Generation X",0,271
"46",1976,"Graduation","Single",79941,0,0,72,123,164,266,227,30,174,1,2,4,9,1,"0","0","0","0","0","0","0","Generation X",0,2
"47",1996,"2n Cycle","Married",7500,0,0,24,3,18,14,15,22,50,3,3,1,3,9,"0","0","0","0","0","0","1","Millenials",0,598
"48",1968,"Graduation","Together",41728,1,0,92,13,6,15,3,5,13,1,2,0,2,10,"0","0","0","0","0","0","0","Generation X",0,402
"49",1951,"Graduation","Single",NA,2,1,96,48,5,48,6,10,7,3,2,1,4,6,"0","0","0","0","0","0","0","Baby Boomer Generation",0,180
"50",1954,"PhD","Married",72550,1,1,39,826,50,317,50,38,38,9,5,2,12,8,"0","0","0","0","0","0","0","Baby Boomer Generation",0,599
"51",1957,"Graduation","Widow",65486,0,1,29,245,19,125,37,67,14,1,4,2,10,2,"0","0","0","0","0","0","0","Baby Boomer Generation",0,49
"52",1964,"Master","Married",79143,0,0,2,650,37,780,27,167,32,1,6,9,13,3,"0","0","0","0","0","0","0","Baby Boomer Generation",0,688
"53",1977,"Graduation","Single",35790,1,0,54,12,6,20,30,1,3,2,2,0,3,7,"0","0","0","0","0","0","0","Generation X",0,544
"54",1977,"Graduation","Divorced",82582,0,0,54,510,120,550,156,40,241,1,4,9,7,1,"1","0","0","1","0","0","1","Generation X",2,23
"55",1978,"Graduation","Married",66373,1,1,57,328,9,124,12,24,109,7,4,2,10,3,"0","0","0","0","0","0","0","Generation X",0,383
"56",1955,"Master","Together",82384,0,0,55,984,51,432,180,120,190,1,3,10,13,1,"0","0","1","0","0","0","1","Baby Boomer Generation",1,588
"57",1966,"Graduation","Divorced",70287,0,0,30,295,35,482,121,120,40,1,5,5,10,3,"0","0","0","0","0","0","1","Generation X",0,454
"58",1988,"Graduation","Single",27938,1,0,31,13,0,8,2,1,5,1,1,0,4,3,"0","0","0","0","0","0","0","Millenials",0,63
"59",1982,"Graduation","Single",NA,1,0,57,11,3,22,2,2,6,2,2,0,3,6,"0","0","0","0","0","0","0","Millenials",0,378
"60",1968,"PhD","Married",55954,0,1,63,447,0,28,0,0,43,3,8,2,6,7,"0","0","0","0","0","0","0","Generation X",0,119
"61",1982,"Master","Single",75777,0,0,12,712,26,538,69,13,80,1,3,6,11,1,"0","1","1","0","0","0","1","Millenials",2,361
"62",1975,"Graduation","Together",66653,1,1,18,452,18,102,16,18,6,4,4,2,12,3,"0","0","0","0","0","0","0","Generation X",0,661
"63",1952,"Graduation","Single",61823,0,1,26,523,7,134,37,14,169,4,8,2,10,7,"0","0","0","0","0","0","0","Baby Boomer Generation",0,497
"64",1951,"PhD","Widow",67680,0,1,8,546,0,48,0,6,6,1,7,3,8,5,"0","0","0","0","0","0","0","Baby Boomer Generation",0,384
"65",1948,"Graduation","Together",70666,0,0,29,398,40,367,119,122,30,1,7,4,4,4,"0","0","0","0","0","0","0","Baby Boomer Generation",0,206
"66",1971,"Graduation","Married",25721,1,0,75,1,3,6,3,6,15,1,1,1,2,7,"0","0","0","0","0","0","1","Generation X",0,405
"67",1967,"Graduation","Together",32474,1,1,0,10,0,1,0,0,0,1,1,0,2,7,"0","0","0","0","0","0","0","Generation X",0,50
"68",1979,"2n Cycle","Single",88194,0,1,19,688,14,309,201,24,38,1,11,10,10,5,"1","0","0","1","0","0","1","Generation X",2,103
"69",1958,"Graduation","Together",69096,0,1,4,247,49,159,7,82,109,1,5,2,10,4,"0","0","0","0","0","0","0","Baby Boomer Generation",0,276
"70",1970,"Graduation","Together",74854,1,2,90,856,59,487,58,29,73,7,2,5,5,5,"0","0","0","0","0","0","0","Generation X",0,448
"71",1954,"Master","Married",66991,0,0,1,496,36,460,189,60,12,3,4,8,6,3,"0","0","0","0","0","0","0","Baby Boomer Generation",0,657
"72",1973,"2n Cycle","Married",NA,1,0,25,25,3,43,17,4,17,3,3,0,3,8,"0","0","0","0","0","0","0","Generation X",0,654
"73",1959,"Graduation","Married",65031,0,1,29,258,107,291,84,37,86,4,10,3,13,7,"0","0","0","0","0","0","0","Baby Boomer Generation",0,470
"74",1975,"PhD","Married",60631,1,1,88,565,6,65,0,6,19,5,9,2,8,7,"0","1","0","0","0","0","0","Generation X",1,451
"75",1952,"Graduation","Married",28332,0,0,58,14,10,13,4,15,9,1,2,1,4,2,"0","0","0","0","0","0","0","Baby Boomer Generation",0,61
"76",1977,"Graduation","Divorced",40246,1,0,68,2,1,6,2,1,1,1,1,0,2,6,"0","0","0","0","0","0","0","Generation X",0,558
"77",1972,"Master","Married",75251,0,0,34,721,111,925,97,18,18,1,7,6,5,5,"0","0","0","0","0","0","1","Generation X",0,672
"78",1976,"Graduation","Single",75825,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,"1","0","0","0","0","0","1","Generation X",1,626
"79",1976,"2n Cycle","Together",26326,0,0,12,1,0,5,0,3,9,1,0,0,3,3,"0","0","0","0","0","1","0","Generation X",0,299
"80",1965,"Graduation","Together",56046,0,0,9,577,0,64,0,0,51,2,10,1,8,8,"1","0","0","0","0","0","1","Generation X",1,544
"81",1985,"Graduation","Single",29760,1,0,87,64,4,68,7,5,17,4,3,1,4,8,"0","0","0","0","0","0","0","Millenials",0,670
"82",1969,"Graduation","Married",26304,1,0,5,4,1,5,2,0,4,1,1,0,2,7,"0","0","0","0","0","0","0","Generation X",0,372
"83",1973,"2n Cycle","Married",23559,1,0,87,25,5,19,7,0,23,3,3,0,3,7,"0","0","0","0","0","0","0","Generation X",0,362
"84",1963,"Master","Together",38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,"0","0","0","0","0","0","0","Baby Boomer Generation",0,415
"85",1987,"Graduation","Divorced",81361,0,0,18,163,23,424,27,65,76,1,3,10,13,1,"0","0","0","0","0","0","0","Millenials",0,125
"86",1960,"Graduation","Married",29440,1,1,95,17,8,14,10,4,3,2,1,0,4,7,"0","0","0","0","0","0","0","Baby Boomer Generation",0,323
"87",1970,"Master","Married",36138,1,1,48,130,0,16,0,0,5,5,3,1,4,7,"0","1","0","0","0","0","0","Generation X",1,349
"88",1957,"Graduation","Single",50388,0,1,3,292,6,37,0,3,34,4,6,1,6,7,"0","1","0","1","0","0","1","Baby Boomer Generation",2,33
"89",1973,"Graduation","Married",79593,0,0,70,350,60,568,110,133,145,1,5,6,7,2,"0","0","1","0","0","0","0","Generation X",1,49
"90",1967,"Graduation","Together",54178,0,1,79,135,9,39,4,0,7,1,2,2,5,2,"0","0","0","0","0","0","0","Generation X",0,160
"91",1957,"PhD","Married",NA,2,1,4,230,42,192,49,37,53,12,7,2,8,9,"0","0","0","0","0","0","0","Baby Boomer Generation",0,588
"92",1957,"Graduation","Single",NA,1,1,45,7,0,8,2,0,1,1,1,0,2,7,"0","0","0","0","0","0","0","Baby Boomer Generation",0,34
"93",1973,"Master","Together",NA,0,0,87,445,37,359,98,28,18,1,2,4,8,1,"0","0","0","0","0","0","0","Generation X",0,219
"94",1972,"Master","Single",42394,1,0,69,15,2,10,0,1,4,1,1,0,3,7,"0","0","0","0","0","0","0","Generation X",0,99
"95",1970,"PhD","Married",23626,1,0,84,27,2,14,0,0,0,3,3,1,3,5,"0","0","0","0","0","0","0","Generation X",0,37
"96",1983,"Graduation","Married",30096,1,0,30,5,3,11,12,5,9,1,2,0,3,6,"0","0","0","0","0","0","0","Millenials",0,39
"97",1960,"Graduation","Widow",47916,0,1,72,505,0,26,0,0,75,5,7,4,6,6,"0","1","0","0","0","0","0","Baby Boomer Generation",1,585
"98",1972,"Graduation","Divorced",51813,1,1,37,51,2,7,0,1,2,2,2,0,3,7,"0","0","0","0","0","0","0","Generation X",0,445
"99",1951,"2n Cycle","Married",78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,"0","0","0","1","0","0","0","Baby Boomer Generation",1,211
"100",1983,"PhD","Married",50150,0,0,32,135,46,92,65,61,11,2,5,2,7,5,"0","0","0","0","0","0","0","Millenials",0,375
"101",1960,"2n Cycle","Single",47823,0,1,0,53,1,5,2,1,10,2,2,0,3,8,"0","0","0","0","0","0","0","Baby Boomer Generation",0,342
"102",1959,"PhD","Single",34554,0,1,43,41,1,6,2,0,5,2,2,0,3,6,"0","0","0","0","0","0","0","Baby Boomer Generation",0,92
"103",1979,"Graduation","Together",85693,0,1,59,386,172,183,185,132,111,2,9,5,11,5,"0","0","0","0","0","0","0","Generation X",0,436
"104",1945,"PhD","Married",65846,0,0,68,562,81,276,80,40,81,1,6,3,6,4,"0","0","0","0","0","0","0","Silent Generation",0,409
"105",1959,"Graduation","Married",87195,0,0,35,217,76,690,50,26,38,1,3,11,5,1,"0","0","0","0","0","0","1","Baby Boomer Generation",0,53
"106",1979,"Basic","Together",24594,1,0,94,1,3,6,10,0,9,1,1,0,3,5,"0","0","0","0","0","0","0","Generation X",0,202
"107",1964,"Graduation","Married",49096,1,1,15,144,1,32,2,1,7,4,4,1,4,7,"0","0","0","0","0","0","0","Baby Boomer Generation",0,279
"108",1969,"Graduation","Married",52413,0,2,56,295,106,271,75,98,65,4,6,4,12,6,"0","0","0","0","0","0","0","Generation X",0,513
"109",1978,"Graduation","Single",38557,1,0,17,76,3,31,4,4,27,2,3,1,3,7,"0","0","0","0","0","0","0","Generation X",0,558
"110",1960,"Master","Married",89058,0,0,18,454,194,106,31,22,43,1,5,4,4,2,"0","0","0","0","0","0","0","Baby Boomer Generation",0,570
"111",1979,"Graduation","Together",77298,0,1,46,425,115,292,23,35,79,1,6,6,11,3,"0","0","0","0","0","0","0","Generation X",0,240
"112",1991,"PhD","Single",68126,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,"0","1","0","0","0","0","1","Millenials",1,597
"113",1963,"Master","Together",57288,0,1,27,527,0,21,0,0,60,3,8,1,8,6,"0","1","0","0","0","0","0","Baby Boomer Generation",1,5
"114",1991,"Graduation","Single",86037,0,0,95,490,44,125,29,20,22,1,6,7,11,3,"0","1","1","0","0","0","1","Millenials",2,544
"115",1980,"PhD","Married",43974,1,0,19,378,0,101,0,0,72,5,6,4,6,7,"0","0","0","0","0","0","0","Generation X",0,565
"116",1962,"Graduation","Single",50785,1,1,27,64,1,21,0,1,27,2,2,1,3,6,"0","0","0","0","0","0","0","Baby Boomer Generation",0,293
"117",1970,"Graduation","Married",90765,0,0,25,547,99,812,151,82,33,0,4,6,5,1,"0","0","1","1","0","0","0","Generation X",2,157
"118",1978,"2n Cycle","Married",36550,1,0,74,47,90,94,123,103,120,5,9,1,5,9,"0","0","0","0","0","0","0","Generation X",0,496
"119",1967,"2n Cycle","Together",30753,1,1,85,12,5,25,0,9,30,2,1,1,3,5,"0","0","0","0","0","0","0","Generation X",0,354
"120",1969,"Graduation","Together",21918,1,0,37,1,6,7,11,5,3,2,2,0,3,6,"0","0","0","0","0","0","0","Generation X",0,228
"121",1953,"Master","Together",56129,0,1,65,320,48,133,39,72,48,4,6,2,10,4,"0","0","0","0","0","0","0","Baby Boomer Generation",0,375
"122",1967,"Master","Single",32557,1,0,13,34,3,29,0,4,10,3,2,1,3,5,"0","0","0","0","0","0","1","Generation X",0,126
"123",1985,"Master","Married",19510,2,0,63,9,0,7,3,4,7,2,1,0,3,7,"0","0","0","0","0","0","0","Millenials",0,299
"124",1976,"Graduation","Divorced",30992,1,0,83,17,0,14,7,3,2,1,1,0,3,7,"0","0","0","0","0","0","0","Generation X",0,434
"125",1983,"Graduation","Single",101970,0,0,69,722,27,102,44,72,168,0,6,8,13,2,"0","1","1","1","0","0","1","Millenials",3,475
"126",1965,"2n Cycle","Together",71488,0,0,87,162,33,124,40,28,172,2,3,4,7,1,"0","0","0","0","0","0","0","Generation X",0,497
"127",1984,"Graduation","Single",79607,0,0,37,450,133,951,173,0,216,1,3,6,6,1,"0","0","0","0","0","0","1","Millenials",0,435
"128",1953,"Master","Married",54348,1,1,51,70,0,16,0,0,4,2,2,0,4,6,"0","0","0","0","0","0","0","Baby Boomer Generation",0,22
"129",1961,"PhD","Married",NA,0,1,23,352,0,27,10,0,15,3,6,1,7,6,"0","0","0","0","0","0","0","Baby Boomer Generation",0,354
"130",1956,"PhD","Together",77376,1,1,72,492,19,110,16,12,12,4,6,3,10,4,"0","0","0","0","0","0","0","Baby Boomer Generation",0,51
"131",1952,"Graduation","Married",62998,0,1,10,120,58,73,65,89,58,5,5,4,5,5,"0","0","0","0","0","0","0","Baby Boomer Generation",0,273
"132",1958,"Master","Alone",61331,1,1,42,534,5,47,0,5,41,5,11,1,6,8,"0","0","0","0","0","0","0","Baby Boomer Generation",0,477
"133",1969,"Graduation","Married",73448,0,0,10,236,106,189,23,41,130,1,7,2,9,4,"0","0","0","0","0","0","0","Generation X",0,140
"134",1963,"Graduation","Married",NA,0,1,96,231,65,196,38,71,124,1,6,5,7,4,"0","0","0","0","0","0","0","Baby Boomer Generation",0,323
"135",1964,"PhD","Married",41551,1,1,51,220,0,33,3,0,23,5,5,1,5,8,"0","0","0","0","0","0","0","Baby Boomer Generation",0,320
"136",1967,"PhD","Together",62981,0,0,21,796,14,590,38,44,0,1,4,5,13,3,"0","1","0","0","0","0","0","Generation X",1,470
"137",1976,"Basic","Divorced",9548,1,0,31,0,1,3,10,6,9,2,1,0,3,8,"0","0","0","0","0","0","0","Generation X",0,691
"138",1959,"PhD","Married",33762,2,1,61,53,1,34,2,0,16,3,2,2,2,8,"0","0","0","0","0","0","0","Baby Boomer Generation",0,358
"139",1973,"PhD","Alone",35860,1,1,37,15,0,8,4,2,20,2,1,1,2,5,"1","0","0","0","0","0","1","Generation X",1,42
"140",1965,"PhD","Divorced",36921,1,1,74,17,1,12,3,1,4,2,2,0,3,7,"0","0","0","0","0","0","0","Generation X",0,337
"141",1992,"Master","Single",92859,0,0,46,962,61,921,52,61,20,1,5,4,12,2,"0","0","0","0","0","0","0","Millenials",0,619
"142",1976,"Master","Together",65104,0,1,4,738,0,232,13,20,50,2,3,5,7,7,"0","0","0","0","0","0","1","Generation X",0,228
"143",1962,"Graduation","Married",86111,0,0,73,399,28,756,36,40,126,1,5,7,10,2,"0","0","0","0","0","0","0","Baby Boomer Generation",0,437
"144",1974,"PhD","Single",68352,0,1,47,614,16,132,43,33,33,3,8,5,9,6,"0","0","0","0","0","0","0","Generation X",0,306
"145",1988,"Graduation","Together",41883,1,0,13,32,34,41,73,16,116,3,4,2,3,7,"0","0","0","0","0","0","0","Millenials",0,468
"146",1976,"Graduation","Married",59809,0,2,36,598,16,141,32,41,49,3,3,3,6,8,"0","0","0","0","0","0","0","Generation X",0,620
"147",1975,"Graduation","Married",23957,1,0,47,2,1,18,20,11,16,1,2,0,3,6,"0","0","0","0","0","0","1","Generation X",0,610
"148",1981,"Graduation","Together",38547,1,0,49,6,1,10,0,1,4,1,1,0,2,8,"0","0","0","0","0","1","0","Millenials",0,306
"149",1973,"2n Cycle","Married",35688,2,1,94,73,3,90,12,1,32,7,4,1,4,8,"0","0","0","0","0","0","0","Generation X",0,677
"150",1966,"Master","Married",49605,0,0,65,42,16,29,12,20,8,1,2,1,4,3,"0","0","0","0","0","0","0","Generation X",0,9
"151",1953,"Master","Married",59354,0,2,59,295,21,78,39,13,13,1,4,4,7,3,"0","0","0","0","0","0","0","Baby Boomer Generation",0,67
"152",1969,"Graduation","Married",65747,0,1,96,346,17,48,23,13,13,4,8,1,6,6,"0","1","0","0","0","0","0","Generation X",1,115
"153",1972,"2n Cycle","Together",46344,0,1,28,233,20,57,8,20,91,4,7,1,5,7,"0","0","0","0","0","0","0","Generation X",0,563
"154",1988,"Graduation","Alone",34176,1,0,12,5,7,24,19,14,20,4,3,0,4,6,"0","0","0","0","0","0","0","Millenials",0,49
"155",1952,"PhD","Together",61010,0,1,57,888,0,57,0,0,76,2,8,5,11,5,"0","0","0","0","0","0","0","Baby Boomer Generation",0,629
"156",1949,"Graduation","Together",69372,0,0,10,997,26,269,34,13,42,1,10,4,6,4,"0","1","1","0","0","0","1","Baby Boomer Generation",2,496
"157",1958,"Graduation","Single",49967,0,1,4,212,6,69,4,12,3,3,6,1,5,7,"0","0","0","0","0","0","0","Baby Boomer Generation",0,357
"158",1978,"Graduation","Single",60199,1,2,49,8,1,7,2,0,0,1,0,0,3,4,"0","0","0","0","0","0","0","Generation X",0,291
"159",1977,"Graduation","Together",55375,0,1,3,42,11,57,10,28,14,1,1,1,6,2,"0","0","0","0","0","0","0","Generation X",0,256
"160",1955,"Graduation","Single",80317,0,0,64,536,11,387,149,91,57,1,3,4,10,1,"0","0","0","0","0","0","0","Baby Boomer Generation",0,314
"161",1958,"Master","Single",30523,2,1,0,5,0,3,0,0,5,1,1,0,2,7,"0","0","0","0","0","0","0","Baby Boomer Generation",0,364
"162",1945,"PhD","Married",70356,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,"0","0","0","0","0","0","0","Silent Generation",0,602
"163",1984,"Graduation","Married",23228,1,0,91,53,3,49,7,4,5,4,3,0,4,8,"0","0","0","0","0","0","0","Millenials",0,176
"164",1975,"PhD","Divorced",74165,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,"0","0","0","0","0","0","0","Generation X",0,425
"165",1973,"PhD","Married",157243,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,"0","0","0","0","0","0","0","Generation X",0,121
"166",1966,"Graduation","Together",43482,2,1,83,18,1,32,6,3,28,3,2,0,4,6,"0","0","0","0","0","0","0","Generation X",0,229
"167",1953,"Graduation","Divorced",62551,0,0,27,125,16,98,134,21,27,1,6,7,4,3,"1","0","0","0","0","0","0","Baby Boomer Generation",1,224
"168",1959,"Graduation","Divorced",52332,0,0,63,212,5,33,7,0,2,1,3,2,6,4,"0","1","0","0","0","0","0","Baby Boomer Generation",1,306
"169",1988,"Graduation","Single",66951,0,0,46,277,162,305,173,76,124,1,3,4,7,1,"0","0","0","0","0","0","0","Millenials",0,240
"170",1957,"Graduation","Together",26091,1,1,84,15,10,19,8,17,20,3,2,1,3,5,"0","0","0","0","0","0","0","Baby Boomer Generation",0,125
"171",1965,"Graduation","Together",33456,1,1,58,7,3,10,8,1,7,2,1,0,3,7,"0","0","0","0","0","0","0","Generation X",0,70
"172",1982,"Graduation","Married",28718,1,0,78,12,4,6,11,8,16,2,2,0,3,8,"0","0","0","0","0","0","0","Millenials",0,352
"173",1970,"Graduation","Married",50447,2,0,4,85,7,24,2,3,27,1,3,1,3,6,"0","0","0","0","0","0","0","Generation X",0,70
"174",1959,"PhD","Together",53537,1,1,17,81,0,6,0,0,6,2,2,1,3,5,"0","0","0","0","0","0","0","Baby Boomer Generation",0,151
"175",1967,"Graduation","Single",52074,0,1,77,59,0,12,0,0,48,1,2,2,2,4,"1","0","0","0","0","0","0","Generation X",1,87
"176",1975,"PhD","Married",80427,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,"0","0","0","0","0","0","0","Generation X",0,656
"177",1948,"PhD","Married",83837,0,0,79,847,66,119,86,89,111,1,9,10,5,4,"0","1","0","1","0","0","1","Baby Boomer Generation",2,561
"178",1970,"PhD","Married",38853,1,1,90,29,0,14,0,0,2,2,2,0,3,7,"0","0","0","0","0","0","0","Generation X",0,38
"179",1959,"Graduation","Together",38285,2,1,96,2,0,5,2,0,1,1,0,0,3,2,"0","0","0","0","0","0","0","Baby Boomer Generation",0,6
"180",1951,"2n Cycle","Married",78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,"0","0","0","1","0","0","0","Baby Boomer Generation",1,211
"181",1976,"PhD","Married",51650,0,1,81,152,3,22,2,5,7,1,4,1,4,5,"0","0","0","0","0","0","0","Generation X",0,50
"182",1988,"2n Cycle","Married",16248,1,0,77,12,11,10,3,12,9,3,2,1,3,6,"0","0","0","0","0","0","0","Millenials",0,51
"183",1946,"Master","Married",66835,0,0,21,620,26,195,34,17,141,1,6,4,13,2,"0","0","0","0","0","0","0","Baby Boomer Generation",0,275
"184",1984,"Master","Married",30477,1,0,16,47,1,6,0,0,12,1,1,1,3,6,"0","0","0","0","0","0","0","Millenials",0,159
"185",1961,"Basic","Married",28249,0,0,80,1,9,7,2,14,10,1,2,0,3,6,"0","0","0","0","0","0","0","Baby Boomer Generation",0,15
"186",1983,"Graduation","Married",25271,1,0,45,10,1,18,10,4,7,1,1,1,2,9,"0","0","0","0","0","0","0","Millenials",0,572
"187",1970,"PhD","Single",32303,0,1,63,35,0,2,0,0,2,2,1,0,4,5,"0","0","0","0","0","0","0","Generation X",0,114
"188",1966,"Graduation","Married",61286,0,1,34,356,0,107,19,9,117,2,7,1,8,5,"0","0","0","0","0","0","0","Generation X",0,332
